date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2006-04-10,68.67,70.93,68.45,70.24,32268400,2.06143321057684,2.12927708790178,2.05482893933282,2.10856369172736,903516103,0.0,1.0
2006-04-11,67.99,69.3,67.07,69.03,33547000,2.04102000854987,2.08034544186654,2.01340214698397,2.07224019988524,939316939,0.0,1.0
2006-04-12,66.71,68.1738,66.3,68.14,26424800,2.00259515767557,2.0465375769801,1.99028719762989,2.0455229207617,739895139,0.0,1.0
2006-04-13,66.469,67.44,65.81,66.3,26238500,1.99536047872189,2.02450933043982,1.97557768440457,1.99028719762989,734678734,0.0,1.0
2006-04-17,64.811,66.84,64.35,66.51,25783500,1.94558828907377,2.00649768159249,1.93174933887607,1.99659127472646,721938721,0.0,1.0
2006-04-18,66.22,66.4737,64.79,65.0,28387300,1.98788564445025,1.99550156997119,1.94495788136411,1.95126195846068,794845194,0.0,1.0
2006-04-19,65.65,67.0,65.47,66.82,38786900,1.97077457804529,2.01130078795178,1.96537108339109,2.00589729329758,1086034286,0.0,1.0
2006-04-20,67.63,70.0,66.2,69.5,59535100,2.03021301924147,2.10135903218842,1.98728525615534,2.08634932481565,1666984466,0.0,1.0
2006-04-21,67.04,68.64,66.47,68.47,28178100,2.0125015645416,2.06053262813448,1.99539049813664,2.05542932762773,788987588,0.0,1.0
2006-04-24,65.75,66.92,65.5,66.92,25251000,1.97377651951984,2.00889923477213,1.96627166583345,2.00889923477213,707028707,0.0,1.0
2006-04-25,66.17,66.59,65.56,65.97,18895100,1.98638467371297,1.9989928279061,1.96807283071819,1.98038079076386,529063329,0.0,1.0
2006-04-26,68.15,68.28,66.4,66.6,25388800,2.04582311490916,2.04972563882608,1.99328913910445,1.99929302205356,710887110,0.0,1.0
2006-04-27,69.36,69.86,67.35,67.74,30212400,2.08214660675127,2.09715631412405,2.02180758311272,2.03351515486348,845948045,0.0,1.0
2006-04-28,70.39,71.3,69.2,69.25,27144200,2.11306660393919,2.14038427135764,2.07734350039198,2.07884447112926,760038360,0.0,1.0
2006-05-01,69.6,71.54,69.16,70.78,26799300,2.0893512662902,2.14758893089657,2.07614272380216,2.12477417568995,750381150,0.0,1.0
2006-05-02,71.62,71.98,70.11,70.15,27559400,2.14999048407621,2.16079747338461,2.10466116781043,2.10586194440026,771663971,0.0,1.0
2006-05-03,71.14,71.95,70.18,71.95,24535400,2.13558116499835,2.15989689094224,2.10676252684262,2.15989689094224,686991886,0.0,1.0
2006-05-04,71.13,72.89,70.46,71.22,30729300,2.13528097085089,2.18811514080306,2.11516796297138,2.13798271817799,860421260,0.0,1.0
2006-05-05,71.89,72.25,71.15,71.86,20139700,2.15809572605751,2.16890271536591,2.13588135914581,2.15719514361514,563912163,0.0,1.0
2006-05-08,71.89,73.8,71.72,72.99,21244700,2.15809572605751,2.21543280822151,2.15299242555077,2.19111708227762,594852194,0.0,1.0
2006-05-09,71.03,72.56,70.62,71.83,18988100,2.13227902937634,2.17820873393703,2.11997106933066,2.15629456117278,531667331,0.0,1.0
2006-05-10,70.6,71.33,69.61,71.29,16424600,2.11937068103575,2.1412848538,2.08965146043766,2.14008407721018,459889259,0.0,1.0
2006-05-11,68.15,70.84,67.55,70.8,29024600,2.04582311490916,2.12657534057469,2.02781146606183,2.12537456398486,812689612,0.0,1.0
2006-05-12,67.7,68.69,66.86,67.7,22920500,2.03231437827366,2.06203359887175,2.0070980698874,2.03231437827366,641774641,0.0,1.0
2006-05-15,67.79,68.38,67.12,67.37,18899200,2.03501612560076,2.05272758030063,2.01490311772124,2.02240797140763,529178129,0.0,1.0
2006-05-16,64.98,68.25,64.75,68.1,33455000,1.95066157016577,2.04882505638371,1.94375710477429,2.04432214417188,936740936,0.0,1.0
2006-05-17,65.26,65.7,64.07,64.705,26935500,1.95906700629452,1.97227554878256,1.92334390274732,1.94240623111074,754194754,0.0,1.0
2006-05-18,63.18,66.26,63.12,65.68,23515800,1.89662662362378,1.98908642104007,1.89482545873905,1.97167516048765,658443058,0.0,1.0
2006-05-19,64.51,64.88,62.82,63.26,35209500,1.93655244523536,1.94765962869121,1.88581963431538,1.89902817680342,985866985,0.0,1.0
2006-05-22,63.38,63.99,62.77,63.87,25677700,1.90263050657289,1.92094234956767,1.88431866357811,1.91734001979821,718976318,0.0,1.0
2006-05-23,63.15,65.19,63.0,64.86,24800500,1.89572604118141,1.95696564726233,1.89122312896958,1.9470592403963,694414694,0.0,1.0
2006-05-24,63.34,63.65,61.56,62.99,32715400,1.90142972998307,1.91073574855419,1.84799517173599,1.89092293482213,916032116,0.0,1.0
2006-05-25,64.33,64.45,63.29,64.26,16549000,1.93114895058116,1.93475128035063,1.89992875924579,1.92904759154897,463372463,0.0,1.0
2006-05-26,63.549,64.56,63.14,64.31,15462500,1.90770378766489,1.93805341597264,1.89542584703396,1.93054856228625,432950432,0.0,1.0
2006-05-30,61.22,63.3,61.2187,63.29,20121500,1.8377885707225,1.90022895339325,1.83774954548334,1.89992875924579,563402563,0.0,1.0
2006-05-31,59.77,61.79,58.69,61.755,45749200,1.79426041934146,1.85489963712747,1.76183945141627,1.85384895761137,1280978880,0.0,1.0
2006-06-01,62.17,62.28,59.52,59.85,33661000,1.86630701473078,1.86960915035279,1.78675556565507,1.7966619725211,942508942,0.0,1.0
2006-06-02,61.66,63.1,60.88,62.99,24492400,1.85099711321055,1.89422507044414,1.82758196970902,1.89092293482213,685787885,0.0,1.0
2006-06-05,60.0,61.15,59.97,61.15,21635200,1.80116488473293,1.83568721169032,1.80026430229057,1.83568721169032,605786205,0.0,1.0
2006-06-06,59.723,60.63,58.91,60.22,25929900,1.79284950684842,1.82007711602263,1.76844372266029,1.80776915597696,726037926,0.0,1.0
2006-06-07,58.565,60.4,58.35,60.1,26803800,1.75808702457307,1.81317265063115,1.75163285040278,1.80416682620749,750507150,0.0,1.0
2006-06-08,60.76,60.93,57.15,58.44,49910100,1.82397963993955,1.8290829404463,1.71560955270812,1.75433459772988,1397484197,0.0,1.0
2006-06-09,59.52,61.56,59.13,61.18,27708500,1.78675556565507,1.84799517173599,1.77504799390431,1.83658779413268,775838775,0.0,1.0
2006-06-12,57.0,59.73,56.96,58.83,25635200,1.71110664049629,1.79305964275164,1.70990586390647,1.76604216948064,717786317,0.0,1.0
2006-06-13,58.33,59.1,57.36,57.61,38594400,1.75103246210787,1.77414741146194,1.72191362980469,1.72941848349107,1080644280,0.0,1.0
2006-06-14,57.61,58.78,56.69,58.28,31362000,1.72941848349107,1.76454119874337,1.70180062192517,1.74953149137059,878136878,0.0,1.0
2006-06-15,59.38,59.74,56.75,57.3,42513700,1.78255284759069,1.79335983689909,1.7036017868099,1.72011246491995,1190384790,0.0,1.0
2006-06-16,57.56,59.19,57.5197,58.955,29932200,1.7279175127538,1.77684915878904,1.72670773033955,1.76979459632384,838102438,0.0,1.0
2006-06-19,57.2,58.18,57.0,57.83,25163400,1.7171105234454,1.74652954989604,1.71110664049629,1.73602275473509,704575904,0.0,1.0
2006-06-20,57.47,58.35,57.29,57.61,24034800,1.7252157654267,1.75163285040278,1.7198122707725,1.72941848349107,672975072,0.0,1.0
2006-06-21,57.86,58.71,57.3,57.74,30832000,1.73692333717746,1.76243983971118,1.72011246491995,1.73332100740799,863296863,0.0,1.0
2006-06-22,59.58,59.75,58.07,58.2,34486900,1.7885567305398,1.79366003104655,1.74322741427403,1.74712993819095,965634165,0.0,1.0
2006-06-23,58.83,60.17,58.73,59.72,23578700,1.76604216948064,1.80626818523968,1.76304022800609,1.79275944860418,660204260,0.0,1.0
2006-06-26,58.99,59.2,58.37,59.17,16662000,1.77084527583993,1.7771493529365,1.75223323869769,1.77624877049413,466536466,0.0,1.0
2006-06-27,57.43,59.22,57.4,59.09,19664700,1.72401498883687,1.77774974123141,1.72311440639451,1.77384721731449,550612150,0.0,1.0
2006-06-28,56.02,57.3,55.41,57.29,30382300,1.68168761404565,1.72011246491995,1.66337577105087,1.7198122707725,850705250,0.0,1.0
2006-06-29,58.97,59.09,56.39,56.76,31192800,1.77024488754502,1.77384721731449,1.6927947975015,1.70390198095736,873399273,0.0,1.0
2006-06-30,57.27,57.75,56.5,57.59,26417700,1.71921188247759,1.73362120155545,1.69609693312351,1.72881809519616,739696339,0.0,1.0
2006-07-03,57.95,58.18,57.34,57.52,6956100,1.73962508450456,1.74652954989604,1.72131324150977,1.72671673616397,194770994,0.0,1.0
2006-07-05,57.0015,57.6,56.56,57.15,18508600,1.71115166961841,1.72911828934362,1.69789809800825,1.71560955270812,518241318,0.0,1.0
2006-07-06,55.77,57.4,55.61,57.09,22614600,1.67418276035926,1.72311440639451,1.66937965399998,1.71380838782339,633209433,0.0,1.0
2006-07-07,55.4,56.55,54.67,55.48,28548600,1.66307557690341,1.69759790386079,1.64116140413916,1.66547713008305,799361599,0.0,1.0
2006-07-10,55.0,56.49,54.5,55.7,18905200,1.65106781100519,1.69579673897606,1.63605810363242,1.67208140132707,529346129,0.0,1.0
2006-07-11,55.65,55.99,54.53,55.11,29465100,1.6705804305898,1.68078703160328,1.63695868607478,1.6543699466272,825023625,0.0,1.0
2006-07-12,52.96,55.24,52.9176,55.17,33118900,1.58982820492427,1.65827247054412,1.58855538173906,1.65617111151193,927330127,0.0,1.0
2006-07-13,52.25,54.12,51.41,52.03,44639500,1.56851442045493,1.62465072602911,1.54329811206867,1.56191014921091,1249907249,0.0,1.0
2006-07-14,50.67,52.89,50.16,52.5,35465600,1.52108374515696,1.58772684589208,1.50577384363673,1.57601927414132,993037793,0.0,1.0
2006-07-17,52.37,53.11,51.65,51.73,36590800,1.5721167502244,1.5943311171361,1.5505027716076,1.55290432478725,1024543424,0.0,1.0
2006-07-18,52.9,53.85,51.85,53.16,35730300,1.58802704003954,1.61654548404781,1.55650665455671,1.59583208787338,1000449400,0.0,1.0
2006-07-19,54.1,55.08,52.36,52.96,49669400,1.6240503377342,1.65346936418483,1.57181655607694,1.58982820492427,1390744590,0.0,1.0
2006-07-20,60.5,61.59,59.72,60.96,70433800,1.81617459210571,1.84889575417836,1.79275944860418,1.82998352288866,1972148372,0.0,1.0
2006-07-21,60.72,61.15,59.64,59.82,31853300,1.82277886334973,1.83568721169032,1.79035789542454,1.79576139007874,891893291,0.0,1.0
2006-07-24,61.42,62.1,60.43,61.26,25816300,1.84379245367161,1.86420565569859,1.81407323307352,1.83898934731233,722857122,0.0,1.0
2006-07-25,61.928,62.09,60.78,61.78,21038200,1.85904231636235,1.86390546155113,1.82458002823446,1.85459944298001,589070189,0.0,1.0
2006-07-26,63.87,64.64,61.68,62.0,32086700,1.91734001979821,1.94045496915228,1.85159750150546,1.86120371422403,898428498,0.0,1.0
2006-07-27,63.4,65.02,62.86,64.505,26251600,1.9032308948678,1.95186234675559,1.8870204109052,1.93640234816163,735045535,0.0,1.0
2006-07-28,65.59,65.68,63.5,63.94,24696700,1.96897341316055,1.97167516048765,1.90623283634236,1.9194413788304,691508291,0.0,1.0
2006-07-31,67.96,68.63,66.28,66.83,31887200,2.0401194261075,2.06023243398702,1.98968680933498,2.00619748744503,892842492,0.0,1.0
2006-08-01,67.18,67.93,65.94,67.22,25420200,2.01670428260598,2.03921884366514,1.9794802083215,2.0179050591958,711766311,0.0,1.0
2006-08-02,68.16,68.68,67.51,67.65,19670300,2.04612330905661,2.0617334047243,2.02661068947201,2.03081340753638,550768950,0.0,1.0
2006-08-03,69.59,70.0,67.8096,67.91,30037300,2.08905107214275,2.10135903218842,2.03560450612977,2.03861845537023,841045241,0.0,1.0
2006-08-04,68.3,68.61,64.96,67.05,66173800,2.05032602712099,2.05963204569211,1.95006118187086,2.01280175868905,1852868252,0.0,1.0
2006-08-07,67.21,69.6,66.31,67.72,44482600,2.01760486504834,2.0893512662902,1.99058739177735,2.03291476656857,1245514045,0.0,1.0
2006-08-08,64.78,67.112,64.51,67.09,35638000,1.94465768721666,2.01466296240328,1.93655244523536,2.01400253527888,997864997,0.0,1.0
2006-08-09,63.59,65.6,63.4,65.43,34137100,1.90893458366946,1.96927360730801,1.9032308948678,1.96417030680127,955839755,0.0,1.0
2006-08-10,64.07,64.81,62.7,63.25,24920000,1.92334390274732,1.94555826965903,1.88221730454592,1.89872798265597,697760697,0.0,1.0
2006-08-11,63.65,64.13,62.58,63.25,27768900,1.91073574855419,1.92514506763205,1.87861497477645,1.89872798265597,777529977,0.0,1.0
2006-08-14,63.94,65.22,63.6,64.05,25629300,1.9194413788304,1.9578662297047,1.90923477781691,1.92274351445241,717621117,0.0,1.0
2006-08-15,66.45,66.5,64.8,65.34,30762600,1.99479010984173,1.996291080579,1.94525807551157,1.96146855947417,861353661,0.0,1.0
2006-08-16,67.98,68.07,66.33,67.1,27903000,2.04071981440242,2.04342156172951,1.99118778007226,2.01430272942633,781284781,0.0,1.0
2006-08-17,67.59,68.66,67.18,68.0,20755300,2.02901224265165,2.06113301642939,2.01670428260598,2.04132020269733,581148981,0.0,1.0
2006-08-18,67.91,68.4,67.26,67.71,19155500,2.03861845537023,2.05332796859555,2.01910583578562,2.03261457242112,536354536,0.0,1.0
2006-08-21,66.56,67.31,66.15,67.3,18793800,1.99809224546374,2.0206068065229,1.98578428541806,2.02030661237544,526226926,0.0,1.0
2006-08-22,67.62,68.32,66.5,66.68,20606000,2.02991282509402,2.0509264154159,1.996291080579,2.0016945752332,576968576,0.0,1.0
2006-08-23,67.31,68.65,66.94,68.0,19152100,2.0206068065229,2.06083282228193,2.00949962306704,2.04132020269733,536259336,0.0,1.0
2006-08-24,67.81,68.19,66.27,67.89,23399700,2.03561651389567,2.04702389149898,1.98938661518753,2.03801806707532,655192255,0.0,1.0
2006-08-25,68.75,69.05,67.31,67.34,19427100,2.06383476375649,2.07284058818015,2.0206068065229,2.02150738896526,543959343,0.0,1.0
2006-08-28,66.98,68.61,66.68,68.5,26362900,2.01070039965687,2.05963204569211,2.0016945752332,2.0563299100701,738161938,0.0,1.0
2006-08-29,66.48,67.26,65.12,66.99,33833300,1.99569069228409,2.01910583578562,1.95486428823015,2.01100059380432,947333347,0.0,1.0
2006-08-30,66.96,67.82,66.68,67.335,24290800,2.01010001136195,2.03591670804313,2.0016945752332,2.02135729189154,680143080,0.0,1.0
2006-08-31,67.85,68.3,66.66,67.28,20524900,2.03681729048549,2.05032602712099,2.00109418693829,2.01970622408053,574697774,0.0,1.0
2006-09-01,68.38,68.65,67.82,68.48,14589100,2.05272758030063,2.06083282228193,2.03591670804313,2.05572952177519,408495208,0.0,1.0
2006-09-05,71.48,71.5,68.55,68.97,36159200,2.14578776601184,2.14638815430675,2.05783088080738,2.07043903500051,1012458612,0.0,1.0
2006-09-06,70.03,71.69,69.7,71.08,34789400,2.10225961463079,2.1520918431084,2.09235320776476,2.13378000011362,974104174,0.0,1.0
2006-09-07,72.8,73.48,70.25,70.6,45284200,2.18541339347596,2.20582659550293,2.10886388587481,2.11937068103575,1267958867,0.0,1.0
2006-09-08,72.52,73.57,71.91,73.37,31997200,2.17700795734721,2.20852834283003,2.15869611435242,2.20252445988092,895922495,0.0,1.0
2006-09-11,72.5,73.73,71.42,72.43,33897300,2.1764075690523,2.21333144918932,2.1439866011271,2.17430621002011,949125349,0.0,1.0
2006-09-12,72.63,73.45,71.45,72.81,60167400,2.18031009296922,2.20492601306057,2.14488718356947,2.18571358762342,1684688884,0.0,1.0
2006-09-13,74.2,74.32,72.3,72.85,40933500,2.22744057411973,2.2310429038892,2.17040368610319,2.18691436421324,1146139146,0.0,1.0
2006-09-14,74.17,74.67,73.46,73.72,28633200,2.22653999167736,2.24154969905014,2.20522620720802,2.21303125504187,801730401,0.0,1.0
2006-09-15,74.1,74.98,73.29,74.6,35066200,2.22443863264517,2.25085571762126,2.20012290670128,2.23944834001795,981854581,0.0,1.0
2006-09-18,73.89,74.86,73.3,73.8,25188500,2.21813455554861,2.24725338785179,2.20042310084874,2.21543280822151,705278705,0.0,1.0
2006-09-19,73.77,74.36,72.8,74.1,25358900,2.21453222577914,2.23224368047902,2.18541339347596,2.22443863264517,710049910,0.0,1.0
2006-09-20,75.26,75.68,74.22,74.38,29385400,2.25926115375001,2.27186930794314,2.22804096241464,2.23284406877393,822792022,0.0,1.0
2006-09-21,74.65,76.06,74.02,75.25,28361600,2.24094931075523,2.28327668554645,2.22203707946553,2.25896095960256,794125594,0.0,1.0
2006-09-22,73.0,74.34,72.58,74.3,23754000,2.19141727642507,2.23164329218411,2.17880912223194,2.23044251559428,665112665,0.0,1.0
2006-09-25,75.75,75.86,73.72,73.81,30678300,2.27397066697533,2.27727280259734,2.21303125504187,2.21573300236897,858993258,0.0,1.0
2006-09-26,77.61,77.78,76.1,76.18,39391000,2.32980677840205,2.33491007890879,2.28447746213627,2.28687901531592,1102949102,0.0,1.0
2006-09-27,76.41,77.47,75.82,77.17,28941900,2.29378348070739,2.32560406033767,2.27607202600752,2.31659823591401,810374010,0.0,1.0
2006-09-28,77.01,77.48,75.95,77.02,25843200,2.31179512955472,2.32590425448513,2.27997454992444,2.31209532370218,723610323,0.0,1.0
2006-09-29,76.98,77.52,76.68,77.11,14493300,2.31089454711236,2.32710503107495,2.30188872268869,2.31479707102928,405812805,0.0,1.0
2006-10-02,74.86,75.87,74.3,75.1,25451400,2.24725338785179,2.2775729967448,2.23044251559428,2.25445804739072,712639912,0.0,1.0
2006-10-03,74.07,74.95,73.19,74.45,28239600,2.22353805020281,2.24995513517889,2.19712096522672,2.23494542780612,790709590,0.0,1.0
2006-10-04,75.38,75.462,73.16,74.1,29610100,2.26286348351948,2.26532507552861,2.19622038278436,2.22443863264517,829083629,0.0,1.0
2006-10-05,74.83,76.16,74.13,74.53,24424400,2.24635280540943,2.28627862702101,2.22533921508754,2.23734698098576,683883883,0.0,1.0
2006-10-06,74.22,75.04,73.81,74.42,16677100,2.22804096241464,2.25265688250599,2.21573300236897,2.23404484536375,466959266,0.0,1.0
2006-10-09,74.63,75.08,73.53,73.8,15650800,2.24034892246032,2.25385765909581,2.20732756624021,2.21543280822151,438222838,0.0,1.0
